"Step","PROPS-NeRF-ablate-19 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-19 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-19 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-18 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-18 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-18 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-17 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-17 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-17 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-16 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-16 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-16 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-15 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-15 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-15 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-14 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-14 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-14 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-13 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-13 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-13 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-12 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-12 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-12 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-11 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-11 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-11 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-10 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-10 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-10 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-9 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-9 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-9 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-8 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-8 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-8 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-7 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-7 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-7 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-6 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-6 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-6 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-5 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-5 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-5 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-4 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-4 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-4 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-3 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-3 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-3 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-2 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-2 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-2 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-1 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-1 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-1 - Train Loss Dict/regularization_loss__MAX","PROPS-NeRF-ablate-0 - Train Loss Dict/regularization_loss","PROPS-NeRF-ablate-0 - Train Loss Dict/regularization_loss__MIN","PROPS-NeRF-ablate-0 - Train Loss Dict/regularization_loss__MAX"
"0","0.017570672556757927","0.017570672556757927","0.017570672556757927","0.01900378242135048","0.01900378242135048","0.01900378242135048","0.023320898413658142","0.023320898413658142","0.023320898413658142","0.018679071217775345","0.018679071217775345","0.018679071217775345","0.017719989642500877","0.017719989642500877","0.017719989642500877","0.020453564822673798","0.020453564822673798","0.020453564822673798","0.025480253621935844","0.025480253621935844","0.025480253621935844","0.021987764164805412","0.021987764164805412","0.021987764164805412","0.018981153145432472","0.018981153145432472","0.018981153145432472","0.02487417869269848","0.02487417869269848","0.02487417869269848","0.01925257407128811","0.01925257407128811","0.01925257407128811","0.02121063321828842","0.02121063321828842","0.02121063321828842","0.021277176216244698","0.021277176216244698","0.021277176216244698","0.02309861034154892","0.022762050852179527","0.023435169830918312","0.02139580249786377","0.02139580249786377","0.02139580249786377","0.022067712619900703","0.022067712619900703","0.022067712619900703","0.018350770696997643","0.018350770696997643","0.018350770696997643","0.020691560581326485","0.020691560581326485","0.020691560581326485","0.02059069462120533","0.02059069462120533","0.02059069462120533","0.0870462954044342","0.0870462954044342","0.0870462954044342"
"10","0.019347188994288445","0.019347188994288445","0.019347188994288445","0.020535267889499664","0.020535267889499664","0.020535267889499664","0.018490660935640335","0.018490660935640335","0.018490660935640335","0.015538192354142666","0.015538192354142666","0.015538192354142666","0.018160147592425346","0.018160147592425346","0.018160147592425346","0.017011716961860657","0.017011716961860657","0.017011716961860657","0.020811496302485466","0.020811496302485466","0.020811496302485466","0.020415829494595528","0.020415829494595528","0.020415829494595528","0.018524661660194397","0.018524661660194397","0.018524661660194397","0.021291058510541916","0.021291058510541916","0.021291058510541916","0.01852847822010517","0.01852847822010517","0.01852847822010517","0.02074265293776989","0.02074265293776989","0.02074265293776989","0.0170490313321352","0.0170490313321352","0.0170490313321352","0.01950708031654358","0.01902167685329914","0.019992483779788017","0.018698912113904953","0.018698912113904953","0.018698912113904953","0.01938977837562561","0.01938977837562561","0.01938977837562561","0.019331825897097588","0.019331825897097588","0.019331825897097588","0.02072736620903015","0.02072736620903015","0.02072736620903015","0.01746532693505287","0.01746532693505287","0.01746532693505287","0.0810706838965416","0.0810706838965416","0.0810706838965416"
"20","0.014082636684179306","0.014082636684179306","0.014082636684179306","0.02085537277162075","0.02085537277162075","0.02085537277162075","0.019979191944003105","0.019979191944003105","0.019979191944003105","0.015842370688915253","0.015842370688915253","0.015842370688915253","0.01318773627281189","0.01318773627281189","0.01318773627281189","0.013445149175822735","0.013445149175822735","0.013445149175822735","0.018364258110523224","0.018364258110523224","0.018364258110523224","0.015953712165355682","0.015953712165355682","0.015953712165355682","0.019552038982510567","0.019552038982510567","0.019552038982510567","0.015589399263262749","0.015589399263262749","0.015589399263262749","0.016938578337430954","0.016938578337430954","0.016938578337430954","0.019575541839003563","0.019575541839003563","0.019575541839003563","0.016698746010661125","0.016698746010661125","0.016698746010661125","0.015895928721874952","0.01487432699650526","0.016917530447244644","0.01292659156024456","0.01292659156024456","0.01292659156024456","0.011864008381962776","0.011864008381962776","0.011864008381962776","0.02002221718430519","0.02002221718430519","0.02002221718430519","0.02266881987452507","0.02266881987452507","0.02266881987452507","0.019721951335668564","0.019721951335668564","0.019721951335668564","0.048856720328330994","0.048856720328330994","0.048856720328330994"
"30","0.01364366989582777","0.01364366989582777","0.01364366989582777","0.0158209390938282","0.0158209390938282","0.0158209390938282","0.01624523103237152","0.01624523103237152","0.01624523103237152","0.015377224422991276","0.015377224422991276","0.015377224422991276","0.013784636743366718","0.013784636743366718","0.013784636743366718","0.01357516273856163","0.01357516273856163","0.01357516273856163","0.01972895860671997","0.01972895860671997","0.01972895860671997","0.016928741708397865","0.016928741708397865","0.016928741708397865","0.015186532400548458","0.015186532400548458","0.015186532400548458","0.012883000075817108","0.012883000075817108","0.012883000075817108","0.015789728611707687","0.015789728611707687","0.015789728611707687","0.014992614276707172","0.014992614276707172","0.014992614276707172","0.01571398600935936","0.01571398600935936","0.01571398600935936","0.012111987452954054","0.011915512382984161","0.012308462522923946","0.01063513197004795","0.01063513197004795","0.01063513197004795","0.013177850283682346","0.013177850283682346","0.013177850283682346","0.01707862876355648","0.01707862876355648","0.01707862876355648","0.018894212320446968","0.018894212320446968","0.018894212320446968","0.013710605911910534","0.013710605911910534","0.013710605911910534","0.0442521870136261","0.0442521870136261","0.0442521870136261"
"40","0.015543998219072819","0.015543998219072819","0.015543998219072819","0.01179147232323885","0.01179147232323885","0.01179147232323885","0.01912141777575016","0.01912141777575016","0.01912141777575016","0.010951991192996502","0.010951991192996502","0.010951991192996502","0.009953854605555534","0.009953854605555534","0.009953854605555534","0.012385937385261059","0.012385937385261059","0.012385937385261059","0.014083958230912685","0.014083958230912685","0.014083958230912685","0.01761702448129654","0.01761702448129654","0.01761702448129654","0.017203813418745995","0.017203813418745995","0.017203813418745995","0.013053469359874725","0.013053469359874725","0.013053469359874725","0.017172064632177353","0.017172064632177353","0.017172064632177353","0.014264504425227642","0.014264504425227642","0.014264504425227642","0.014743122272193432","0.014743122272193432","0.014743122272193432","0.014497873838990927","0.014379081316292286","0.014616666361689568","0.009983140975236893","0.009983140975236893","0.009983140975236893","0.012147696688771248","0.012147696688771248","0.012147696688771248","0.014531695283949375","0.014531695283949375","0.014531695283949375","0.020414358004927635","0.020414358004927635","0.020414358004927635","0.011360447853803635","0.011360447853803635","0.011360447853803635","0.04474500194191933","0.04474500194191933","0.04474500194191933"
"50","0.011335938237607479","0.011335938237607479","0.011335938237607479","0.014781543053686619","0.014781543053686619","0.014781543053686619","0.013657699339091778","0.013657699339091778","0.013657699339091778","0.014346135780215263","0.014346135780215263","0.014346135780215263","0.010395160876214504","0.010395160876214504","0.010395160876214504","0.012763278558850288","0.012763278558850288","0.012763278558850288","0.01468048058450222","0.01468048058450222","0.01468048058450222","0.012500522658228874","0.012500522658228874","0.012500522658228874","0.014388046227395535","0.014388046227395535","0.014388046227395535","0.013961873948574066","0.013961873948574066","0.013961873948574066","0.014370783232152462","0.014370783232152462","0.014370783232152462","0.01154414564371109","0.01154414564371109","0.01154414564371109","0.013365428894758224","0.013365428894758224","0.013365428894758224","0.015718170907348394","0.01346480380743742","0.01797153800725937","0.01341200526803732","0.01341200526803732","0.01341200526803732","0.012014497071504593","0.012014497071504593","0.012014497071504593","0.013213963247835636","0.013213963247835636","0.013213963247835636","0.02150554209947586","0.02150554209947586","0.02150554209947586","0.016206419095396996","0.016206419095396996","0.016206419095396996","0.04352499172091484","0.04352499172091484","0.04352499172091484"
"60","0.009560300968587399","0.009560300968587399","0.009560300968587399","0.012252734042704105","0.012252734042704105","0.012252734042704105","0.015656515955924988","0.015656515955924988","0.015656515955924988","0.014989416114985943","0.014989416114985943","0.014989416114985943","0.010588296689093113","0.010588296689093113","0.010588296689093113","0.013732755556702614","0.013732755556702614","0.013732755556702614","0.013231994584202766","0.013231994584202766","0.013231994584202766","0.01144610159099102","0.01144610159099102","0.01144610159099102","0.016769958660006523","0.016769958660006523","0.016769958660006523","0.012274236418306828","0.012274236418306828","0.012274236418306828","0.013786101713776588","0.013786101713776588","0.013786101713776588","0.01567128300666809","0.01567128300666809","0.01567128300666809","0.01151183433830738","0.01151183433830738","0.01151183433830738","0.010090798139572144","0.009435544721782207","0.01074605155736208","0.00970818754285574","0.00970818754285574","0.00970818754285574","0.010289521887898445","0.010289521887898445","0.010289521887898445","0.012577821500599384","0.012577821500599384","0.012577821500599384","0.01698599010705948","0.01698599010705948","0.01698599010705948","0.008683509193360806","0.008683509193360806","0.008683509193360806","0.04018331691622734","0.04018331691622734","0.04018331691622734"
"70","0.010148787871003151","0.010148787871003151","0.010148787871003151","0.012469957582652569","0.012469957582652569","0.012469957582652569","0.013963471166789532","0.013963471166789532","0.013963471166789532","0.010541079565882683","0.010541079565882683","0.010541079565882683","0.00897744670510292","0.00897744670510292","0.00897744670510292","0.012245417572557926","0.012245417572557926","0.012245417572557926","0.014400009997189045","0.014400009997189045","0.014400009997189045","0.01245957799255848","0.01245957799255848","0.01245957799255848","0.010769304819405079","0.010769304819405079","0.010769304819405079","0.013095536269247532","0.013095536269247532","0.013095536269247532","0.015203536488115788","0.015203536488115788","0.015203536488115788","0.011594286188483238","0.011594286188483238","0.011594286188483238","0.012531740590929985","0.012531740590929985","0.012531740590929985","0.012507287785410881","0.011756367981433868","0.013258207589387894","0.008576600812375546","0.008576600812375546","0.008576600812375546","0.010815351270139217","0.010815351270139217","0.010815351270139217","0.010677519254386425","0.010677519254386425","0.010677519254386425","0.012133514508605003","0.012133514508605003","0.012133514508605003","0.010460959747433662","0.010460959747433662","0.010460959747433662","0.03988266363739967","0.03988266363739967","0.03988266363739967"
"80","0.010404299944639206","0.010404299944639206","0.010404299944639206","0.0143099594861269","0.0143099594861269","0.0143099594861269","0.011815953068435192","0.011815953068435192","0.011815953068435192","0.013528942130506039","0.013528942130506039","0.013528942130506039","0.009641166776418686","0.009641166776418686","0.009641166776418686","0.015821872279047966","0.015821872279047966","0.015821872279047966","0.014945821836590767","0.014945821836590767","0.014945821836590767","0.012225992046296597","0.012225992046296597","0.012225992046296597","0.01344875805079937","0.01344875805079937","0.01344875805079937","0.009873010218143463","0.009873010218143463","0.009873010218143463","0.012898199260234833","0.012898199260234833","0.012898199260234833","0.009041501209139824","0.009041501209139824","0.009041501209139824","0.011551900766789913","0.011551900766789913","0.011551900766789913","0.011094690766185522","0.010215540416538715","0.011973841115832329","0.009120648726820946","0.009120648726820946","0.009120648726820946","0.009012564085423946","0.009012564085423946","0.009012564085423946","0.010816262103617191","0.010816262103617191","0.010816262103617191","0.015013154596090317","0.015013154596090317","0.015013154596090317","0.011144910007715225","0.011144910007715225","0.011144910007715225","0.035628899931907654","0.035628899931907654","0.035628899931907654"
"90","0.009312833659350872","0.009312833659350872","0.009312833659350872","0.00959519948810339","0.00959519948810339","0.00959519948810339","0.010894058272242546","0.010894058272242546","0.010894058272242546","0.007715204264968634","0.007715204264968634","0.007715204264968634","0.011181697249412537","0.011181697249412537","0.011181697249412537","0.012422051280736923","0.012422051280736923","0.012422051280736923","0.009750869125127792","0.009750869125127792","0.009750869125127792","0.012181696482002735","0.012181696482002735","0.012181696482002735","0.010452590882778168","0.010452590882778168","0.010452590882778168","0.010837825015187263","0.010837825015187263","0.010837825015187263","0.00916172657161951","0.00916172657161951","0.00916172657161951","0.011013180948793888","0.011013180948793888","0.011013180948793888","0.013437957502901554","0.013437957502901554","0.013437957502901554","0.009253993164747953","0.008802251890301704","0.009705734439194202","0.00922712404280901","0.00922712404280901","0.00922712404280901","0.010011235252022743","0.010011235252022743","0.010011235252022743","0.01089965645223856","0.01089965645223856","0.01089965645223856","0.014503699727356434","0.014503699727356434","0.014503699727356434","0.007748542819172144","0.007748542819172144","0.007748542819172144","0.028802361339330673","0.028802361339330673","0.028802361339330673"
