"Step","PROPS-NeRF-ablate-19 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-19 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-19 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-18 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-18 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-18 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-17 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-17 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-17 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-16 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-16 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-16 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-15 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-15 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-15 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-14 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-14 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-14 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-13 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-13 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-13 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-12 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-12 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-12 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-11 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-11 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-11 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-10 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-10 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-10 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-9 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-9 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-9 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-8 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-8 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-8 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-7 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-7 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-7 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-6 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-6 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-6 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-5 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-5 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-5 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-4 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-4 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-4 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-3 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-3 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-3 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-2 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-2 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-2 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-1 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-1 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-1 - Train Loss Dict/rotation_loss__MAX","PROPS-NeRF-ablate-0 - Train Loss Dict/rotation_loss","PROPS-NeRF-ablate-0 - Train Loss Dict/rotation_loss__MIN","PROPS-NeRF-ablate-0 - Train Loss Dict/rotation_loss__MAX"
"100","0.0022172380704432726","0.0022172380704432726","0.0022172380704432726","0.010910953395068645","0.010910953395068645","0.010910953395068645","0","0","0","0.005021112039685249","0.005021112039685249","0.005021112039685249","0.0024033216759562492","0.0024033216759562492","0.0024033216759562492","0","0","0","0","0","0","0","0","0","0.0037871012464165688","0.0037871012464165688","0.0037871012464165688","0.008033833466470242","0.008033833466470242","0.008033833466470242","0.01208583265542984","0.01208583265542984","0.01208583265542984","0.0045317974872887135","0.0045317974872887135","0.0045317974872887135","0.00849026907235384","0.00849026907235384","0.00849026907235384","0.009330176748335361","0","0.018660353496670723","0.01627078279852867","0.01627078279852867","0.01627078279852867","0","0","0","0.0014501920668408275","0.0014501920668408275","0.0014501920668408275","0","0","0","0.0005749498959630728","0.0005749498959630728","0.0005749498959630728","0","0","0"
"110","0","0","0","0","0","0","0.003993843216449022","0.003993843216449022","0.003993843216449022","0.00814977940171957","0.00814977940171957","0.00814977940171957","0.003735646838322282","0.003735646838322282","0.003735646838322282","0","0","0","0","0","0","0.008576923049986362","0.008576923049986362","0.008576923049986362","0.0010382825275883079","0.0010382825275883079","0.0010382825275883079","0","0","0","0.008894123136997223","0.008894123136997223","0.008894123136997223","0.0034097847528755665","0.0034097847528755665","0.0034097847528755665","0.007413861341774464","0.007413861341774464","0.007413861341774464","0.0036628269590437412","0","0.0073256539180874825","0.0037725886795669794","0.0037725886795669794","0.0037725886795669794","0.004773274529725313","0.004773274529725313","0.004773274529725313","0","0","0","0","0","0","0","0","0","0.005255341529846191","0.005255341529846191","0.005255341529846191"
"120","0","0","0","0.009663921780884266","0.009663921780884266","0.009663921780884266","0","0","0","0.006152345333248377","0.006152345333248377","0.006152345333248377","0","0","0","0.012639916501939297","0.012639916501939297","0.012639916501939297","0","0","0","0.0025446421932429075","0.0025446421932429075","0.0025446421932429075","0","0","0","0","0","0","0.007636756636202335","0.007636756636202335","0.007636756636202335","0.005254171788692474","0.005254171788692474","0.005254171788692474","0.006697583012282848","0.006697583012282848","0.006697583012282848","0.002433406887575984","0","0.004866813775151968","0.004568316973745823","0.004568316973745823","0.004568316973745823","0.005162312649190426","0.005162312649190426","0.005162312649190426","0.0056851026602089405","0.0056851026602089405","0.0056851026602089405","0","0","0","0.0037356819957494736","0.0037356819957494736","0.0037356819957494736","0","0","0"
"130","0","0","0","0.0024359317030757666","0.0024359317030757666","0.0024359317030757666","0","0","0","0","0","0","0","0","0","0.03124919906258583","0.03124919906258583","0.03124919906258583","0","0","0","0.003672026563435793","0.003672026563435793","0.003672026563435793","0","0","0","0","0","0","0.005087478552013636","0.005087478552013636","0.005087478552013636","0.0049092574045062065","0.0049092574045062065","0.0049092574045062065","0.011496239341795444","0.011496239341795444","0.011496239341795444","0.00040923073538579047","0","0.0008184614707715809","0.0034808830823749304","0.0034808830823749304","0.0034808830823749304","0","0","0","0.0032851537689566612","0.0032851537689566612","0.0032851537689566612","0","0","0","0.007721251808106899","0.007721251808106899","0.007721251808106899","0.0030527417548000813","0.0030527417548000813","0.0030527417548000813"
"140","0.0026533170603215694","0.0026533170603215694","0.0026533170603215694","0.005330504383891821","0.005330504383891821","0.005330504383891821","0","0","0","0","0","0","0.0016053685685619712","0.0016053685685619712","0.0016053685685619712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00560808926820755","0.00560808926820755","0.00560808926820755","0.006756849121302366","0.006756849121302366","0.006756849121302366","0.0037975278683006763","0.0037975278683006763","0.0037975278683006763","0.0018916783155873418","0","0.0037833566311746836","0.011096347123384476","0.011096347123384476","0.011096347123384476","0.007208788301795721","0.007208788301795721","0.007208788301795721","0.01007777452468872","0.01007777452468872","0.01007777452468872","0","0","0","0.016975227743387222","0.016975227743387222","0.016975227743387222","0.018000533804297447","0.018000533804297447","0.018000533804297447"
"150","0.006261303089559078","0.006261303089559078","0.006261303089559078","0","0","0","0","0","0","0.006649990100413561","0.006649990100413561","0.006649990100413561","0.008605308830738068","0.008605308830738068","0.008605308830738068","0","0","0","0","0","0","0.01112497877329588","0.01112497877329588","0.01112497877329588","0","0","0","0","0","0","0.0014346959069371223","0.0014346959069371223","0.0014346959069371223","0.0017603329615667462","0.0017603329615667462","0.0017603329615667462","0.00952815543860197","0.00952815543860197","0.00952815543860197","0.009834494441747665","0.0020468495786190033","0.017622139304876328","0.008713622577488422","0.008713622577488422","0.008713622577488422","0","0","0","0","0","0","0","0","0","0.007720899768173695","0.007720899768173695","0.007720899768173695","0.005560018587857485","0.005560018587857485","0.005560018587857485"
"160","0","0","0","0.005168571602553129","0.005168571602553129","0.005168571602553129","0.018235761672258377","0.018235761672258377","0.018235761672258377","0.005980785004794598","0.005980785004794598","0.005980785004794598","0.009298110380768776","0.009298110380768776","0.009298110380768776","0","0","0","0.023348335176706314","0.023348335176706314","0.023348335176706314","0.01220021117478609","0.01220021117478609","0.01220021117478609","0","0","0","0.01044530887156725","0.01044530887156725","0.01044530887156725","0.013411806896328926","0.013411806896328926","0.013411806896328926","0.0035780356265604496","0.0035780356265604496","0.0035780356265604496","0.004063226282596588","0.004063226282596588","0.004063226282596588","0.005670139798894525","0.005116297863423824","0.006223981734365225","0.0058364709839224815","0.0058364709839224815","0.0058364709839224815","0.011904433369636536","0.011904433369636536","0.011904433369636536","0","0","0","0","0","0","0.007264135405421257","0.007264135405421257","0.007264135405421257","0","0","0"
"170","0.0029103148262947798","0.0029103148262947798","0.0029103148262947798","0.006339233834296465","0.006339233834296465","0.006339233834296465","0","0","0","0.004101394675672054","0.004101394675672054","0.004101394675672054","0.012577932327985764","0.012577932327985764","0.012577932327985764","0","0","0","0","0","0","0.019354907795786858","0.019354907795786858","0.019354907795786858","0","0","0","0.004195052664726973","0.004195052664726973","0.004195052664726973","0.0014648487558588386","0.0014648487558588386","0.0014648487558588386","0.00265085999853909","0.00265085999853909","0.00265085999853909","0.0076238298788666725","0.0076238298788666725","0.0076238298788666725","0.005863242316991091","0.005489087197929621","0.006237397436052561","0.0053330822847783566","0.0053330822847783566","0.0053330822847783566","0.001249663415364921","0.001249663415364921","0.001249663415364921","0.0033043373841792345","0.0033043373841792345","0.0033043373841792345","0","0","0","0.0040549105033278465","0.0040549105033278465","0.0040549105033278465","0.014833859167993069","0.014833859167993069","0.014833859167993069"
"180","0.0035615640226751566","0.0035615640226751566","0.0035615640226751566","0.0035437161568552256","0.0035437161568552256","0.0035437161568552256","0","0","0","0.0017110819462686777","0.0017110819462686777","0.0017110819462686777","0.006263460963964462","0.006263460963964462","0.006263460963964462","0","0","0","0","0","0","0.006411967799067497","0.006411967799067497","0.006411967799067497","0.005594560410827398","0.005594560410827398","0.005594560410827398","0","0","0","0.004278714302927256","0.004278714302927256","0.004278714302927256","0","0","0","0.011046304367482662","0.011046304367482662","0.011046304367482662","0.0021740610245615244","0","0.004348122049123049","0.016888124868273735","0.016888124868273735","0.016888124868273735","0.0007379715098068118","0.0007379715098068118","0.0007379715098068118","0","0","0","0","0","0","0.005786033812910318","0.005786033812910318","0.005786033812910318","0.0016987222479656339","0.0016987222479656339","0.0016987222479656339"
"190","0.005286878906190395","0.005286878906190395","0.005286878906190395","0.006293723359704018","0.006293723359704018","0.006293723359704018","0","0","0","0.010553979314863682","0.010553979314863682","0.010553979314863682","0.00283438409678638","0.00283438409678638","0.00283438409678638","0","0","0","0.010547172278165817","0.010547172278165817","0.010547172278165817","0.011432157829403877","0.011432157829403877","0.011432157829403877","0","0","0","0","0","0","0.005938039161264896","0.005938039161264896","0.005938039161264896","0.006890150252729654","0.006890150252729654","0.006890150252729654","0.005022069439291954","0.005022069439291954","0.005022069439291954","0.004344397224485874","0.003077038563787937","0.005611755885183811","0.0047798557206988335","0.0047798557206988335","0.0047798557206988335","0","0","0","0","0","0","0.006458498537540436","0.006458498537540436","0.006458498537540436","0.011566700413823128","0.011566700413823128","0.011566700413823128","0.006705399602651596","0.006705399602651596","0.006705399602651596"
