"Step","PROPS-NeRF-ablate-19 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-19 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-19 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-18 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-18 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-18 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-17 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-17 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-17 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-16 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-16 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-16 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-15 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-15 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-15 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-14 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-14 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-14 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-13 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-13 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-13 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-12 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-12 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-12 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-11 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-11 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-11 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-10 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-10 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-10 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-9 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-9 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-9 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-8 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-8 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-8 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-7 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-7 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-7 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-6 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-6 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-6 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-5 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-5 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-5 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-4 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-4 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-4 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-3 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-3 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-3 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-2 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-2 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-2 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-1 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-1 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-1 - Train Loss Dict/segmentation_loss__MAX","PROPS-NeRF-ablate-0 - Train Loss Dict/segmentation_loss","PROPS-NeRF-ablate-0 - Train Loss Dict/segmentation_loss__MIN","PROPS-NeRF-ablate-0 - Train Loss Dict/segmentation_loss__MAX"
"0","1.0729845762252808","1.0729845762252808","1.0729845762252808","1.0101293325424194","1.0101293325424194","1.0101293325424194","1.5841745138168335","1.5841745138168335","1.5841745138168335","1.548683762550354","1.548683762550354","1.548683762550354","1.1403560638427734","1.1403560638427734","1.1403560638427734","1.5506213903427124","1.5506213903427124","1.5506213903427124","1.2771834135055542","1.2771834135055542","1.2771834135055542","0.8138912916183472","0.8138912916183472","0.8138912916183472","0.9063332080841064","0.9063332080841064","0.9063332080841064","1.071323275566101","1.071323275566101","1.071323275566101","1.152472972869873","1.152472972869873","1.152472972869873","1.3960622549057007","1.3960622549057007","1.3960622549057007","1.1167629957199097","1.1167629957199097","1.1167629957199097","0.862472653388977","0.6314460039138794","1.0934993028640747","1.6230175495147705","1.6230175495147705","1.6230175495147705","0.9373837113380432","0.9373837113380432","0.9373837113380432","0.7578673362731934","0.7578673362731934","0.7578673362731934","1.2554301023483276","1.2554301023483276","1.2554301023483276","1.113571286201477","1.113571286201477","1.113571286201477","0.7769731283187866","0.7769731283187866","0.7769731283187866"
"10","1.1611673831939697","1.1611673831939697","1.1611673831939697","1.2889317274093628","1.2889317274093628","1.2889317274093628","1.3790552616119385","1.3790552616119385","1.3790552616119385","1.0404250621795654","1.0404250621795654","1.0404250621795654","0.7831074595451355","0.7831074595451355","0.7831074595451355","1.1969882249832153","1.1969882249832153","1.1969882249832153","1.0856273174285889","1.0856273174285889","1.0856273174285889","0.8699489235877991","0.8699489235877991","0.8699489235877991","0.9322683811187744","0.9322683811187744","0.9322683811187744","1.2360352277755737","1.2360352277755737","1.2360352277755737","1.0342470407485962","1.0342470407485962","1.0342470407485962","1.1127731800079346","1.1127731800079346","1.1127731800079346","0.9584224224090576","0.9584224224090576","0.9584224224090576","1.1885921955108643","1.0455772876739502","1.3316071033477783","1.0885326862335205","1.0885326862335205","1.0885326862335205","0.8745474219322205","0.8745474219322205","0.8745474219322205","0.7815545797348022","0.7815545797348022","0.7815545797348022","1.0784684419631958","1.0784684419631958","1.0784684419631958","1.023533821105957","1.023533821105957","1.023533821105957","1.078642725944519","1.078642725944519","1.078642725944519"
"20","1.2150970697402954","1.2150970697402954","1.2150970697402954","0.9632518291473389","0.9632518291473389","0.9632518291473389","1.3808939456939697","1.3808939456939697","1.3808939456939697","1.4805790185928345","1.4805790185928345","1.4805790185928345","0.7850756049156189","0.7850756049156189","0.7850756049156189","1.0901798009872437","1.0901798009872437","1.0901798009872437","1.1697371006011963","1.1697371006011963","1.1697371006011963","0.638135552406311","0.638135552406311","0.638135552406311","0.9588086009025574","0.9588086009025574","0.9588086009025574","1.1139612197875977","1.1139612197875977","1.1139612197875977","1.1146160364151","1.1146160364151","1.1146160364151","1.3668491840362549","1.3668491840362549","1.3668491840362549","0.7977761626243591","0.7977761626243591","0.7977761626243591","0.9645282626152039","0.6763588190078735","1.2526977062225342","1.0732797384262085","1.0732797384262085","1.0732797384262085","1.2070430517196655","1.2070430517196655","1.2070430517196655","0.7999615669250488","0.7999615669250488","0.7999615669250488","0.8498494029045105","0.8498494029045105","0.8498494029045105","1.0752630233764648","1.0752630233764648","1.0752630233764648","0.7586076259613037","0.7586076259613037","0.7586076259613037"
"30","0.9462408423423767","0.9462408423423767","0.9462408423423767","0.7324701547622681","0.7324701547622681","0.7324701547622681","0.8796228170394897","0.8796228170394897","0.8796228170394897","0.898841142654419","0.898841142654419","0.898841142654419","0.5517839193344116","0.5517839193344116","0.5517839193344116","1.0059276819229126","1.0059276819229126","1.0059276819229126","1.0143554210662842","1.0143554210662842","1.0143554210662842","0.8179566264152527","0.8179566264152527","0.8179566264152527","1.1880110502243042","1.1880110502243042","1.1880110502243042","0.9538848996162415","0.9538848996162415","0.9538848996162415","0.7859123349189758","0.7859123349189758","0.7859123349189758","1.0597541332244873","1.0597541332244873","1.0597541332244873","0.7719976902008057","0.7719976902008057","0.7719976902008057","0.7153375148773193","0.5790956616401672","0.8515793681144714","0.5845012664794922","0.5845012664794922","0.5845012664794922","0.6134100556373596","0.6134100556373596","0.6134100556373596","0.8805146217346191","0.8805146217346191","0.8805146217346191","1.292415976524353","1.292415976524353","1.292415976524353","0.7798463702201843","0.7798463702201843","0.7798463702201843","0.855707585811615","0.855707585811615","0.855707585811615"
"40","0.9815325736999512","0.9815325736999512","0.9815325736999512","0.4773401916027069","0.4773401916027069","0.4773401916027069","1.0957883596420288","1.0957883596420288","1.0957883596420288","0.9505216479301453","0.9505216479301453","0.9505216479301453","0.5211154222488403","0.5211154222488403","0.5211154222488403","1.0531730651855469","1.0531730651855469","1.0531730651855469","0.5716193318367004","0.5716193318367004","0.5716193318367004","0.3989149034023285","0.3989149034023285","0.3989149034023285","0.9725973606109619","0.9725973606109619","0.9725973606109619","1.0070326328277588","1.0070326328277588","1.0070326328277588","0.6414967179298401","0.6414967179298401","0.6414967179298401","0.8177154660224915","0.8177154660224915","0.8177154660224915","0.62920743227005","0.62920743227005","0.62920743227005","0.6358815878629684","0.4564931094646454","0.8152700662612915","0.7703440189361572","0.7703440189361572","0.7703440189361572","0.5933712124824524","0.5933712124824524","0.5933712124824524","0.7178227305412292","0.7178227305412292","0.7178227305412292","0.8587567210197449","0.8587567210197449","0.8587567210197449","0.6231584548950195","0.6231584548950195","0.6231584548950195","0.8534367680549622","0.8534367680549622","0.8534367680549622"
"50","0.5829987525939941","0.5829987525939941","0.5829987525939941","0.5149116516113281","0.5149116516113281","0.5149116516113281","0.7862047553062439","0.7862047553062439","0.7862047553062439","0.7842879891395569","0.7842879891395569","0.7842879891395569","0.3946795165538788","0.3946795165538788","0.3946795165538788","0.8063318133354187","0.8063318133354187","0.8063318133354187","0.5593090653419495","0.5593090653419495","0.5593090653419495","0.48582854866981506","0.48582854866981506","0.48582854866981506","0.8376185894012451","0.8376185894012451","0.8376185894012451","0.7502557635307312","0.7502557635307312","0.7502557635307312","0.6224398612976074","0.6224398612976074","0.6224398612976074","0.8632822632789612","0.8632822632789612","0.8632822632789612","0.507327139377594","0.507327139377594","0.507327139377594","0.6118397414684296","0.5205686092376709","0.7031108736991882","0.4551653563976288","0.4551653563976288","0.4551653563976288","0.565931499004364","0.565931499004364","0.565931499004364","0.7062150239944458","0.7062150239944458","0.7062150239944458","0.8428794145584106","0.8428794145584106","0.8428794145584106","0.30596497654914856","0.30596497654914856","0.30596497654914856","0.7802888751029968","0.7802888751029968","0.7802888751029968"
"60","0.5672047138214111","0.5672047138214111","0.5672047138214111","0.43177491426467896","0.43177491426467896","0.43177491426467896","1.0110690593719482","1.0110690593719482","1.0110690593719482","0.5017934441566467","0.5017934441566467","0.5017934441566467","0.5358050465583801","0.5358050465583801","0.5358050465583801","0.6989021301269531","0.6989021301269531","0.6989021301269531","0.63128262758255","0.63128262758255","0.63128262758255","0.7404265403747559","0.7404265403747559","0.7404265403747559","0.7272880673408508","0.7272880673408508","0.7272880673408508","0.8234386444091797","0.8234386444091797","0.8234386444091797","0.6022695899009705","0.6022695899009705","0.6022695899009705","0.6856934428215027","0.6856934428215027","0.6856934428215027","0.5397846698760986","0.5397846698760986","0.5397846698760986","0.5080158561468124","0.4855618178844452","0.5304698944091797","0.697273850440979","0.697273850440979","0.697273850440979","0.6420350670814514","0.6420350670814514","0.6420350670814514","0.6641068458557129","0.6641068458557129","0.6641068458557129","0.6718354821205139","0.6718354821205139","0.6718354821205139","0.548241376876831","0.548241376876831","0.548241376876831","0.42241910099983215","0.42241910099983215","0.42241910099983215"
"70","0.544796347618103","0.544796347618103","0.544796347618103","0.3902621269226074","0.3902621269226074","0.3902621269226074","0.7828839421272278","0.7828839421272278","0.7828839421272278","0.552379846572876","0.552379846572876","0.552379846572876","0.6017627716064453","0.6017627716064453","0.6017627716064453","0.7665500640869141","0.7665500640869141","0.7665500640869141","0.7916104197502136","0.7916104197502136","0.7916104197502136","0.3203571140766144","0.3203571140766144","0.3203571140766144","0.4820815920829773","0.4820815920829773","0.4820815920829773","0.8310149312019348","0.8310149312019348","0.8310149312019348","0.692546546459198","0.692546546459198","0.692546546459198","0.9572669267654419","0.9572669267654419","0.9572669267654419","0.3596653938293457","0.3596653938293457","0.3596653938293457","0.44886741042137146","0.39237135648727417","0.5053634643554688","0.32775020599365234","0.32775020599365234","0.32775020599365234","0.7280028462409973","0.7280028462409973","0.7280028462409973","0.9278995990753174","0.9278995990753174","0.9278995990753174","0.6610228419303894","0.6610228419303894","0.6610228419303894","0.4477009177207947","0.4477009177207947","0.4477009177207947","0.38846227526664734","0.38846227526664734","0.38846227526664734"
"80","0.4695405066013336","0.4695405066013336","0.4695405066013336","0.3256928026676178","0.3256928026676178","0.3256928026676178","0.6910273432731628","0.6910273432731628","0.6910273432731628","0.516512930393219","0.516512930393219","0.516512930393219","0.7667534351348877","0.7667534351348877","0.7667534351348877","0.6362307071685791","0.6362307071685791","0.6362307071685791","0.4575226902961731","0.4575226902961731","0.4575226902961731","0.5628993511199951","0.5628993511199951","0.5628993511199951","0.5273616313934326","0.5273616313934326","0.5273616313934326","0.5916136503219604","0.5916136503219604","0.5916136503219604","0.5239081978797913","0.5239081978797913","0.5239081978797913","0.6032074689865112","0.6032074689865112","0.6032074689865112","0.4976021349430084","0.4976021349430084","0.4976021349430084","0.3477865904569626","0.3107868432998657","0.38478633761405945","0.7446422576904297","0.7446422576904297","0.7446422576904297","0.619239330291748","0.619239330291748","0.619239330291748","0.7756659984588623","0.7756659984588623","0.7756659984588623","0.8319195508956909","0.8319195508956909","0.8319195508956909","0.37638893723487854","0.37638893723487854","0.37638893723487854","0.4168931245803833","0.4168931245803833","0.4168931245803833"
"90","0.44182276725769043","0.44182276725769043","0.44182276725769043","0.32021769881248474","0.32021769881248474","0.32021769881248474","0.8248660564422607","0.8248660564422607","0.8248660564422607","0.40099912881851196","0.40099912881851196","0.40099912881851196","0.45500263571739197","0.45500263571739197","0.45500263571739197","0.6963830590248108","0.6963830590248108","0.6963830590248108","0.6506089568138123","0.6506089568138123","0.6506089568138123","0.37926340103149414","0.37926340103149414","0.37926340103149414","0.49152833223342896","0.49152833223342896","0.49152833223342896","0.8764206767082214","0.8764206767082214","0.8764206767082214","0.2979377508163452","0.2979377508163452","0.2979377508163452","0.5852820873260498","0.5852820873260498","0.5852820873260498","0.43647074699401855","0.43647074699401855","0.43647074699401855","0.3662542551755905","0.2477918565273285","0.48471665382385254","0.4860841929912567","0.4860841929912567","0.4860841929912567","0.5680585503578186","0.5680585503578186","0.5680585503578186","0.8051708340644836","0.8051708340644836","0.8051708340644836","0.6183110475540161","0.6183110475540161","0.6183110475540161","0.46909719705581665","0.46909719705581665","0.46909719705581665","0.5884857177734375","0.5884857177734375","0.5884857177734375"
