"Step","PROPS-NeRF-ablate-19 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-19 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-19 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-18 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-18 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-18 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-17 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-17 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-17 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-16 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-16 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-16 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-15 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-15 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-15 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-14 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-14 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-14 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-13 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-13 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-13 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-12 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-12 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-12 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-11 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-11 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-11 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-10 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-10 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-10 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-9 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-9 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-9 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-8 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-8 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-8 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-7 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-7 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-7 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-6 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-6 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-6 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-5 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-5 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-5 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-4 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-4 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-4 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-3 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-3 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-3 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-2 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-2 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-2 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-1 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-1 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-1 - Train Loss Dict/original_segmentation_loss__MAX","PROPS-NeRF-ablate-0 - Train Loss Dict/original_segmentation_loss","PROPS-NeRF-ablate-0 - Train Loss Dict/original_segmentation_loss__MIN","PROPS-NeRF-ablate-0 - Train Loss Dict/original_segmentation_loss__MAX"
"0","0.18532222509384155","0.18532222509384155","0.18532222509384155","0.2533247470855713","0.2533247470855713","0.2533247470855713","0.4571070373058319","0.4571070373058319","0.4571070373058319","0.29355305433273315","0.29355305433273315","0.29355305433273315","0.1512259989976883","0.1512259989976883","0.1512259989976883","0.38523074984550476","0.38523074984550476","0.38523074984550476","0.26936256885528564","0.26936256885528564","0.26936256885528564","0.19839386641979218","0.19839386641979218","0.19839386641979218","0.20501208305358887","0.20501208305358887","0.20501208305358887","0.5122838616371155","0.5122838616371155","0.5122838616371155","0.3305510878562927","0.3305510878562927","0.3305510878562927","0.34220656752586365","0.34220656752586365","0.34220656752586365","0.20368903875350952","0.20368903875350952","0.20368903875350952","0.22851278632879257","0.18601439893245697","0.2710111737251282","0.4074569642543793","0.4074569642543793","0.4074569642543793","0.2942769229412079","0.2942769229412079","0.2942769229412079","0.35433632135391235","0.35433632135391235","0.35433632135391235","0.4080579876899719","0.4080579876899719","0.4080579876899719","0.15916651487350464","0.15916651487350464","0.15916651487350464","0.30640390515327454","0.30640390515327454","0.30640390515327454"
"10","0.15483087301254272","0.15483087301254272","0.15483087301254272","0.274262011051178","0.274262011051178","0.274262011051178","0.328012079000473","0.328012079000473","0.328012079000473","0.20674051344394684","0.20674051344394684","0.20674051344394684","0.3254229724407196","0.3254229724407196","0.3254229724407196","0.43973827362060547","0.43973827362060547","0.43973827362060547","0.3767245411872864","0.3767245411872864","0.3767245411872864","0.17540135979652405","0.17540135979652405","0.17540135979652405","0.23467104136943817","0.23467104136943817","0.23467104136943817","0.5681348443031311","0.5681348443031311","0.5681348443031311","0.1819564551115036","0.1819564551115036","0.1819564551115036","0.3191923499107361","0.3191923499107361","0.3191923499107361","0.19902755320072174","0.19902755320072174","0.19902755320072174","0.18872061371803284","0.1504049152135849","0.22703631222248077","0.3827766478061676","0.3827766478061676","0.3827766478061676","0.23739919066429138","0.23739919066429138","0.23739919066429138","0.3517906665802002","0.3517906665802002","0.3517906665802002","0.5040218830108643","0.5040218830108643","0.5040218830108643","0.14379297196865082","0.14379297196865082","0.14379297196865082","0.35803771018981934","0.35803771018981934","0.35803771018981934"
"20","0.24795690178871155","0.24795690178871155","0.24795690178871155","0.29002290964126587","0.29002290964126587","0.29002290964126587","0.34287598729133606","0.34287598729133606","0.34287598729133606","0.3154507577419281","0.3154507577419281","0.3154507577419281","0.22523164749145508","0.22523164749145508","0.22523164749145508","0.537032961845398","0.537032961845398","0.537032961845398","0.3298441171646118","0.3298441171646118","0.3298441171646118","0.20849648118019104","0.20849648118019104","0.20849648118019104","0.2943906784057617","0.2943906784057617","0.2943906784057617","0.5008468627929688","0.5008468627929688","0.5008468627929688","0.30253082513809204","0.30253082513809204","0.30253082513809204","0.3456736207008362","0.3456736207008362","0.3456736207008362","0.2657884657382965","0.2657884657382965","0.2657884657382965","0.20754952728748322","0.18601439893245697","0.22908465564250946","0.25657781958580017","0.25657781958580017","0.25657781958580017","0.1785140037536621","0.1785140037536621","0.1785140037536621","0.3573879599571228","0.3573879599571228","0.3573879599571228","0.3036884069442749","0.3036884069442749","0.3036884069442749","0.14083491265773773","0.14083491265773773","0.14083491265773773","0.34208524227142334","0.34208524227142334","0.34208524227142334"
"30","0.22953341901302338","0.22953341901302338","0.22953341901302338","0.2892993092536926","0.2892993092536926","0.2892993092536926","0.34269171953201294","0.34269171953201294","0.34269171953201294","0.21669265627861023","0.21669265627861023","0.21669265627861023","0.25982049107551575","0.25982049107551575","0.25982049107551575","0.5145072340965271","0.5145072340965271","0.5145072340965271","0.4409862756729126","0.4409862756729126","0.4409862756729126","0.13872170448303223","0.13872170448303223","0.13872170448303223","0.21102675795555115","0.21102675795555115","0.21102675795555115","0.39046710729599","0.39046710729599","0.39046710729599","0.3205990791320801","0.3205990791320801","0.3205990791320801","0.369236558675766","0.369236558675766","0.369236558675766","0.3387191891670227","0.3387191891670227","0.3387191891670227","0.16071047633886337","0.12480917572975159","0.19661177694797516","0.30279865860939026","0.30279865860939026","0.30279865860939026","0.26954564452171326","0.26954564452171326","0.26954564452171326","0.37958863377571106","0.37958863377571106","0.37958863377571106","0.4080579876899719","0.4080579876899719","0.4080579876899719","0.15113089978694916","0.15113089978694916","0.15113089978694916","0.37225455045700073","0.37225455045700073","0.37225455045700073"
"40","0.26628103852272034","0.26628103852272034","0.26628103852272034","0.2998902201652527","0.2998902201652527","0.2998902201652527","0.34287598729133606","0.34287598729133606","0.34287598729133606","0.24654683470726013","0.24654683470726013","0.24654683470726013","0.28510522842407227","0.28510522842407227","0.28510522842407227","0.5335561037063599","0.5335561037063599","0.5335561037063599","0.3727003335952759","0.3727003335952759","0.3727003335952759","0.17385192215442657","0.17385192215442657","0.17385192215442657","0.3242745101451874","0.3242745101451874","0.3242745101451874","0.5505250096321106","0.5505250096321106","0.5505250096321106","0.19223463535308838","0.19223463535308838","0.19223463535308838","0.3851848244667053","0.3851848244667053","0.3851848244667053","0.22046834230422974","0.22046834230422974","0.22046834230422974","0.20450875908136368","0.16608594357967377","0.2429315745830536","0.42412805557250977","0.42412805557250977","0.42412805557250977","0.30182933807373047","0.30182933807373047","0.30182933807373047","0.3997229039669037","0.3997229039669037","0.3997229039669037","0.4686259925365448","0.4686259925365448","0.4686259925365448","0.14264000952243805","0.14264000952243805","0.14264000952243805","0.35006439685821533","0.35006439685821533","0.35006439685821533"
"50","0.23234421014785767","0.23234421014785767","0.23234421014785767","0.43630126118659973","0.43630126118659973","0.43630126118659973","0.328012079000473","0.328012079000473","0.328012079000473","0.2134270966053009","0.2134270966053009","0.2134270966053009","0.1512259989976883","0.1512259989976883","0.1512259989976883","0.3930820822715759","0.3930820822715759","0.3930820822715759","0.3267495334148407","0.3267495334148407","0.3267495334148407","0.2324197143316269","0.2324197143316269","0.2324197143316269","0.184753879904747","0.184753879904747","0.184753879904747","0.46806687116622925","0.46806687116622925","0.46806687116622925","0.2837710976600647","0.2837710976600647","0.2837710976600647","0.331377774477005","0.331377774477005","0.331377774477005","0.26309314370155334","0.26309314370155334","0.26309314370155334","0.18585924059152603","0.1583082228899002","0.21341025829315186","0.32927408814430237","0.32927408814430237","0.32927408814430237","0.25123608112335205","0.25123608112335205","0.25123608112335205","0.33679789304733276","0.33679789304733276","0.33679789304733276","0.42034053802490234","0.42034053802490234","0.42034053802490234","0.16702361404895782","0.16702361404895782","0.16702361404895782","0.26390010118484497","0.26390010118484497","0.26390010118484497"
"60","0.2634256184101105","0.2634256184101105","0.2634256184101105","0.2914052903652191","0.2914052903652191","0.2914052903652191","0.34287598729133606","0.34287598729133606","0.34287598729133606","0.23244613409042358","0.23244613409042358","0.23244613409042358","0.22523164749145508","0.22523164749145508","0.22523164749145508","0.43973827362060547","0.43973827362060547","0.43973827362060547","0.45961934328079224","0.45961934328079224","0.45961934328079224","0.14435318112373352","0.14435318112373352","0.14435318112373352","0.28151679039001465","0.28151679039001465","0.28151679039001465","0.35243749618530273","0.35243749618530273","0.35243749618530273","0.22121699154376984","0.22121699154376984","0.22121699154376984","0.28995394706726074","0.28995394706726074","0.28995394706726074","0.25852110981941223","0.25852110981941223","0.25852110981941223","0.14790906012058258","0.14330260455608368","0.15251551568508148","0.40877604484558105","0.40877604484558105","0.40877604484558105","0.2510405480861664","0.2510405480861664","0.2510405480861664","0.3259511888027191","0.3259511888027191","0.3259511888027191","0.2824573218822479","0.2824573218822479","0.2824573218822479","0.24551448225975037","0.24551448225975037","0.24551448225975037","0.3735612630844116","0.3735612630844116","0.3735612630844116"
"70","0.16168420016765594","0.16168420016765594","0.16168420016765594","0.26822230219841003","0.26822230219841003","0.26822230219841003","0.35685449838638306","0.35685449838638306","0.35685449838638306","0.30473506450653076","0.30473506450653076","0.30473506450653076","0.2980291545391083","0.2980291545391083","0.2980291545391083","0.5147981643676758","0.5147981643676758","0.5147981643676758","0.3669391870498657","0.3669391870498657","0.3669391870498657","0.18005086481571198","0.18005086481571198","0.18005086481571198","0.20320512354373932","0.20320512354373932","0.20320512354373932","0.46634387969970703","0.46634387969970703","0.46634387969970703","0.30633413791656494","0.30633413791656494","0.30633413791656494","0.3367294371128082","0.3367294371128082","0.3367294371128082","0.19411122798919678","0.19411122798919678","0.19411122798919678","0.19985029101371765","0.15160703659057617","0.24809354543685913","0.3462495505809784","0.3462495505809784","0.3462495505809784","0.2997780442237854","0.2997780442237854","0.2997780442237854","0.4126311242580414","0.4126311242580414","0.4126311242580414","0.3985176682472229","0.3985176682472229","0.3985176682472229","0.2282169908285141","0.2282169908285141","0.2282169908285141","0.28549641370773315","0.28549641370773315","0.28549641370773315"
"80","0.35690590739250183","0.35690590739250183","0.35690590739250183","0.3318021595478058","0.3318021595478058","0.3318021595478058","0.3044244945049286","0.3044244945049286","0.3044244945049286","0.2633834183216095","0.2633834183216095","0.2633834183216095","0.31615838408470154","0.31615838408470154","0.31615838408470154","0.3969001770019531","0.3969001770019531","0.3969001770019531","0.30496546626091003","0.30496546626091003","0.30496546626091003","0.20359845459461212","0.20359845459461212","0.20359845459461212","0.20501208305358887","0.20501208305358887","0.20501208305358887","0.40667039155960083","0.40667039155960083","0.40667039155960083","0.3164100646972656","0.3164100646972656","0.3164100646972656","0.3123205602169037","0.3123205602169037","0.3123205602169037","0.2904602587223053","0.2904602587223053","0.2904602587223053","0.18170738220214844","0.17302340269088745","0.19039136171340942","0.49992257356643677","0.49992257356643677","0.49992257356643677","0.2968772053718567","0.2968772053718567","0.2968772053718567","0.34025317430496216","0.34025317430496216","0.34025317430496216","0.3137349784374237","0.3137349784374237","0.3137349784374237","0.11313657462596893","0.11313657462596893","0.11313657462596893","0.3732603192329407","0.3732603192329407","0.3732603192329407"
"90","0.20503933727741241","0.20503933727741241","0.20503933727741241","0.36330848932266235","0.36330848932266235","0.36330848932266235","0.4068329334259033","0.4068329334259033","0.4068329334259033","0.22534054517745972","0.22534054517745972","0.22534054517745972","0.22217974066734314","0.22217974066734314","0.22217974066734314","0.43973827362060547","0.43973827362060547","0.43973827362060547","0.4823611378669739","0.4823611378669739","0.4823611378669739","0.2137802094221115","0.2137802094221115","0.2137802094221115","0.20286259055137634","0.20286259055137634","0.20286259055137634","0.5505250096321106","0.5505250096321106","0.5505250096321106","0.21670445799827576","0.21670445799827576","0.21670445799827576","0.331377774477005","0.331377774477005","0.331377774477005","0.24990862607955933","0.24990862607955933","0.24990862607955933","0.17303462326526642","0.15869729220867157","0.18737195432186127","0.2623450756072998","0.2623450756072998","0.2623450756072998","0.2891136407852173","0.2891136407852173","0.2891136407852173","0.43557271361351013","0.43557271361351013","0.43557271361351013","0.38006556034088135","0.38006556034088135","0.38006556034088135","0.16467119753360748","0.16467119753360748","0.16467119753360748","0.26914745569229126","0.26914745569229126","0.26914745569229126"
