"Step","PROPS-NeRF-ablate-19 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-19 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-19 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-18 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-18 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-18 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-17 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-17 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-17 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-16 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-16 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-16 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-15 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-15 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-15 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-14 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-14 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-14 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-13 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-13 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-13 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-12 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-12 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-12 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-11 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-11 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-11 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-10 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-10 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-10 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-9 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-9 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-9 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-8 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-8 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-8 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-7 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-7 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-7 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-6 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-6 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-6 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-5 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-5 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-5 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-4 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-4 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-4 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-3 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-3 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-3 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-2 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-2 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-2 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-1 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-1 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-1 - Train Loss Dict/original_translation_loss__MAX","PROPS-NeRF-ablate-0 - Train Loss Dict/original_translation_loss","PROPS-NeRF-ablate-0 - Train Loss Dict/original_translation_loss__MIN","PROPS-NeRF-ablate-0 - Train Loss Dict/original_translation_loss__MAX"
"0","0.10505915433168411","0.10505915433168411","0.10505915433168411","0.14570949971675873","0.14570949971675873","0.14570949971675873","0.14766719937324524","0.14766719937324524","0.14766719937324524","0.19151481986045837","0.19151481986045837","0.19151481986045837","0.12384114414453506","0.12384114414453506","0.12384114414453506","0.17790649831295013","0.17790649831295013","0.17790649831295013","0.15586024522781372","0.15586024522781372","0.15586024522781372","0.11461329460144043","0.11461329460144043","0.11461329460144043","0.11572986096143723","0.11572986096143723","0.11572986096143723","0.178080752491951","0.178080752491951","0.178080752491951","0.10794021189212799","0.10794021189212799","0.10794021189212799","0.1213325783610344","0.1213325783610344","0.1213325783610344","0.15826869010925293","0.15826869010925293","0.15826869010925293","0.13540459796786308","0.10766821354627609","0.16314098238945007","0.16778917610645294","0.16778917610645294","0.16778917610645294","0.1497602015733719","0.1497602015733719","0.1497602015733719","0.15912237763404846","0.15912237763404846","0.15912237763404846","0.1290024220943451","0.1290024220943451","0.1290024220943451","0.12481097131967545","0.12481097131967545","0.12481097131967545","0.1688888669013977","0.1688888669013977","0.1688888669013977"
"10","0.1617276817560196","0.1617276817560196","0.1617276817560196","0.16454578936100006","0.16454578936100006","0.16454578936100006","0.1583135724067688","0.1583135724067688","0.1583135724067688","0.14166992902755737","0.14166992902755737","0.14166992902755737","0.18288351595401764","0.18288351595401764","0.18288351595401764","0.1977372020483017","0.1977372020483017","0.1977372020483017","0.15247629582881927","0.15247629582881927","0.15247629582881927","0.13413023948669434","0.13413023948669434","0.13413023948669434","0.1228041723370552","0.1228041723370552","0.1228041723370552","0.21585330367088318","0.21585330367088318","0.21585330367088318","0.12907357513904572","0.12907357513904572","0.12907357513904572","0.15542159974575043","0.15542159974575043","0.15542159974575043","0.12720730900764465","0.12720730900764465","0.12720730900764465","0.11354456096887589","0.09019991755485535","0.13688920438289642","0.16004350781440735","0.16004350781440735","0.16004350781440735","0.11701709032058716","0.11701709032058716","0.11701709032058716","0.15811564028263092","0.15811564028263092","0.15811564028263092","0.2051587998867035","0.2051587998867035","0.2051587998867035","0.12285541743040085","0.12285541743040085","0.12285541743040085","0.14653156697750092","0.14653156697750092","0.14653156697750092"
"20","0.13338714838027954","0.13338714838027954","0.13338714838027954","0.15144895017147064","0.15144895017147064","0.15144895017147064","0.16732175648212433","0.16732175648212433","0.16732175648212433","0.12775294482707977","0.12775294482707977","0.12775294482707977","0.11387113481760025","0.11387113481760025","0.11387113481760025","0.2006121277809143","0.2006121277809143","0.2006121277809143","0.11145687103271484","0.11145687103271484","0.11145687103271484","0.10818544030189514","0.10818544030189514","0.10818544030189514","0.13962969183921814","0.13962969183921814","0.13962969183921814","0.1972743570804596","0.1972743570804596","0.1972743570804596","0.15184321999549866","0.15184321999549866","0.15184321999549866","0.1338072419166565","0.1338072419166565","0.1338072419166565","0.15563362836837769","0.15563362836837769","0.15563362836837769","0.11896925047039986","0.10766821354627609","0.13027028739452362","0.1330498456954956","0.1330498456954956","0.1330498456954956","0.1646319180727005","0.1646319180727005","0.1646319180727005","0.17311103641986847","0.17311103641986847","0.17311103641986847","0.1356697678565979","0.1356697678565979","0.1356697678565979","0.1030951738357544","0.1030951738357544","0.1030951738357544","0.161098450422287","0.161098450422287","0.161098450422287"
"30","0.14406633377075195","0.14406633377075195","0.14406633377075195","0.12343470752239227","0.12343470752239227","0.12343470752239227","0.1793031394481659","0.1793031394481659","0.1793031394481659","0.11134371906518936","0.11134371906518936","0.11134371906518936","0.1474563479423523","0.1474563479423523","0.1474563479423523","0.1699042171239853","0.1699042171239853","0.1699042171239853","0.12590520083904266","0.12590520083904266","0.12590520083904266","0.15416663885116577","0.15416663885116577","0.15416663885116577","0.09116271138191223","0.09116271138191223","0.09116271138191223","0.1653166115283966","0.1653166115283966","0.1653166115283966","0.19016973674297333","0.19016973674297333","0.19016973674297333","0.17917105555534363","0.17917105555534363","0.17917105555534363","0.1459197849035263","0.1459197849035263","0.1459197849035263","0.13633672893047333","0.1231030821800232","0.14957037568092346","0.14836452901363373","0.14836452901363373","0.14836452901363373","0.16422858834266663","0.16422858834266663","0.16422858834266663","0.17421509325504303","0.17421509325504303","0.17421509325504303","0.1290024220943451","0.1290024220943451","0.1290024220943451","0.10245202481746674","0.10245202481746674","0.10245202481746674","0.12172520905733109","0.12172520905733109","0.12172520905733109"
"40","0.11658450216054916","0.11658450216054916","0.11658450216054916","0.15140779316425323","0.15140779316425323","0.15140779316425323","0.16732175648212433","0.16732175648212433","0.16732175648212433","0.11472424119710922","0.11472424119710922","0.11472424119710922","0.14693783223628998","0.14693783223628998","0.14693783223628998","0.17829962074756622","0.17829962074756622","0.17829962074756622","0.12572868168354034","0.12572868168354034","0.12572868168354034","0.11005167663097382","0.11005167663097382","0.11005167663097382","0.10616864264011383","0.10616864264011383","0.10616864264011383","0.21658380329608917","0.21658380329608917","0.21658380329608917","0.12554839253425598","0.12554839253425598","0.12554839253425598","0.19673272967338562","0.19673272967338562","0.19673272967338562","0.10057692974805832","0.10057692974805832","0.10057692974805832","0.13596591725945473","0.10029790550470352","0.17163392901420593","0.21216735243797302","0.21216735243797302","0.21216735243797302","0.15650776028633118","0.15650776028633118","0.15650776028633118","0.13924384117126465","0.13924384117126465","0.13924384117126465","0.17867915332317352","0.17867915332317352","0.17867915332317352","0.10525674372911453","0.10525674372911453","0.10525674372911453","0.12671004235744476","0.12671004235744476","0.12671004235744476"
"50","0.15897297859191895","0.15897297859191895","0.15897297859191895","0.13676714897155762","0.13676714897155762","0.13676714897155762","0.1583135724067688","0.1583135724067688","0.1583135724067688","0.11740568280220032","0.11740568280220032","0.11740568280220032","0.12384114414453506","0.12384114414453506","0.12384114414453506","0.18583868443965912","0.18583868443965912","0.18583868443965912","0.11966360360383987","0.11966360360383987","0.11966360360383987","0.17896965146064758","0.17896965146064758","0.17896965146064758","0.14755937457084656","0.14755937457084656","0.14755937457084656","0.16835425794124603","0.16835425794124603","0.16835425794124603","0.17458133399486542","0.17458133399486542","0.17458133399486542","0.19211110472679138","0.19211110472679138","0.19211110472679138","0.1076655313372612","0.1076655313372612","0.1076655313372612","0.13400204479694366","0.10693961381912231","0.16106447577476501","0.17356252670288086","0.17356252670288086","0.17356252670288086","0.15153533220291138","0.15153533220291138","0.15153533220291138","0.16709394752979279","0.16709394752979279","0.16709394752979279","0.15483848750591278","0.15483848750591278","0.15483848750591278","0.14580637216567993","0.14580637216567993","0.14580637216567993","0.16357877850532532","0.16357877850532532","0.16357877850532532"
"60","0.1456066370010376","0.1456066370010376","0.1456066370010376","0.1680423766374588","0.1680423766374588","0.1680423766374588","0.16732175648212433","0.16732175648212433","0.16732175648212433","0.13916094601154327","0.13916094601154327","0.13916094601154327","0.11387113481760025","0.11387113481760025","0.11387113481760025","0.1977372020483017","0.1977372020483017","0.1977372020483017","0.18269449472427368","0.18269449472427368","0.18269449472427368","0.09879087656736374","0.09879087656736374","0.09879087656736374","0.11362966150045395","0.11362966150045395","0.11362966150045395","0.12453138828277588","0.12453138828277588","0.12453138828277588","0.11522383987903595","0.11522383987903595","0.11522383987903595","0.12954412400722504","0.12954412400722504","0.12954412400722504","0.10446572303771973","0.10446572303771973","0.10446572303771973","0.12945180013775826","0.12190934270620346","0.13699425756931305","0.1345319002866745","0.1345319002866745","0.1345319002866745","0.11970312893390656","0.11970312893390656","0.11970312893390656","0.17222446203231812","0.17222446203231812","0.17222446203231812","0.13377034664154053","0.13377034664154053","0.13377034664154053","0.09562406688928604","0.09562406688928604","0.09562406688928604","0.18372106552124023","0.18372106552124023","0.18372106552124023"
"70","0.10315871983766556","0.10315871983766556","0.10315871983766556","0.13549764454364777","0.13549764454364777","0.13549764454364777","0.12111028283834457","0.12111028283834457","0.12111028283834457","0.10772895812988281","0.10772895812988281","0.10772895812988281","0.14615952968597412","0.14615952968597412","0.14615952968597412","0.16790272295475006","0.16790272295475006","0.16790272295475006","0.1189357116818428","0.1189357116818428","0.1189357116818428","0.1236976906657219","0.1236976906657219","0.1236976906657219","0.10007219761610031","0.10007219761610031","0.10007219761610031","0.1931486874818802","0.1931486874818802","0.1931486874818802","0.1332675814628601","0.1332675814628601","0.1332675814628601","0.12059902399778366","0.12059902399778366","0.12059902399778366","0.10908487439155579","0.10908487439155579","0.10908487439155579","0.12495561689138412","0.10145555436611176","0.1484556794166565","0.19504356384277344","0.19504356384277344","0.19504356384277344","0.11217094957828522","0.11217094957828522","0.11217094957828522","0.12400495260953903","0.12400495260953903","0.12400495260953903","0.14863617718219757","0.14863617718219757","0.14863617718219757","0.09238943457603455","0.09238943457603455","0.09238943457603455","0.12914252281188965","0.12914252281188965","0.12914252281188965"
"80","0.18070842325687408","0.18070842325687408","0.18070842325687408","0.17111419141292572","0.17111419141292572","0.17111419141292572","0.1467960774898529","0.1467960774898529","0.1467960774898529","0.12243473529815674","0.12243473529815674","0.12243473529815674","0.11074355989694595","0.11074355989694595","0.11074355989694595","0.1743546575307846","0.1743546575307846","0.1743546575307846","0.14164260029792786","0.14164260029792786","0.14164260029792786","0.10883738100528717","0.10883738100528717","0.10883738100528717","0.11572986096143723","0.11572986096143723","0.11572986096143723","0.15748828649520874","0.15748828649520874","0.15748828649520874","0.13314123451709747","0.13314123451709747","0.13314123451709747","0.15359267592430115","0.15359267592430115","0.15359267592430115","0.10383109748363495","0.10383109748363495","0.10383109748363495","0.12815923243761063","0.12316791713237762","0.13315054774284363","0.12638995051383972","0.12638995051383972","0.12638995051383972","0.1436917632818222","0.1436917632818222","0.1436917632818222","0.17347317934036255","0.17347317934036255","0.17347317934036255","0.1739068627357483","0.1739068627357483","0.1739068627357483","0.10061786323785782","0.10061786323785782","0.10061786323785782","0.14404068887233734","0.14404068887233734","0.14404068887233734"
"90","0.15821897983551025","0.15821897983551025","0.15821897983551025","0.15184752643108368","0.15184752643108368","0.15184752643108368","0.11924522370100021","0.11924522370100021","0.11924522370100021","0.14509521424770355","0.14509521424770355","0.14509521424770355","0.11303740739822388","0.11303740739822388","0.11303740739822388","0.1977372020483017","0.1977372020483017","0.1977372020483017","0.141807422041893","0.141807422041893","0.141807422041893","0.11106450855731964","0.11106450855731964","0.11106450855731964","0.10047094523906708","0.10047094523906708","0.10047094523906708","0.21658380329608917","0.21658380329608917","0.21658380329608917","0.14615771174430847","0.14615771174430847","0.14615771174430847","0.19211110472679138","0.19211110472679138","0.19211110472679138","0.18109305202960968","0.18109305202960968","0.18109305202960968","0.1267263926565647","0.121102474629879","0.13235031068325043","0.13047447800636292","0.13047447800636292","0.13047447800636292","0.14841362833976746","0.14841362833976746","0.14841362833976746","0.137787327170372","0.137787327170372","0.137787327170372","0.1935397833585739","0.1935397833585739","0.1935397833585739","0.09782778471708298","0.09782778471708298","0.09782778471708298","0.16570736467838287","0.16570736467838287","0.16570736467838287"
