"Step","PROPS-NeRF-ablate-19 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-19 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-19 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-18 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-18 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-18 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-17 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-17 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-17 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-16 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-16 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-16 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-15 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-15 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-15 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-14 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-14 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-14 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-13 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-13 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-13 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-12 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-12 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-12 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-11 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-11 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-11 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-10 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-10 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-10 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-9 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-9 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-9 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-8 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-8 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-8 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-7 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-7 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-7 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-6 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-6 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-6 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-5 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-5 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-5 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-4 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-4 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-4 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-3 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-3 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-3 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-2 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-2 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-2 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-1 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-1 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-1 - Train Loss Dict/original_rotation_loss__MAX","PROPS-NeRF-ablate-0 - Train Loss Dict/original_rotation_loss","PROPS-NeRF-ablate-0 - Train Loss Dict/original_rotation_loss__MIN","PROPS-NeRF-ablate-0 - Train Loss Dict/original_rotation_loss__MAX"
"0","0.006764824967831373","0.006764824967831373","0.006764824967831373","0.004738339688628912","0.004738339688628912","0.004738339688628912","0.020454691722989082","0.020454691722989082","0.020454691722989082","0.00691158277913928","0.00691158277913928","0.00691158277913928","0.016132716089487076","0.016132716089487076","0.016132716089487076","0.021847158670425415","0.021847158670425415","0.021847158670425415","0","0","0","0.006522501353174448","0.006522501353174448","0.006522501353174448","0.0025068314280360937","0.0025068314280360937","0.0025068314280360937","0","0","0","0.0010177715448662639","0.0010177715448662639","0.0010177715448662639","0.0038421754725277424","0.0038421754725277424","0.0038421754725277424","0.0031523331999778748","0.0031523331999778748","0.0031523331999778748","0.003285492886789143","0.0032455739565193653","0.003325411817058921","0.01051279902458191","0.01051279902458191","0.01051279902458191","0.0028709787875413895","0.0028709787875413895","0.0028709787875413895","0.002258964814245701","0.002258964814245701","0.002258964814245701","0.010703099891543388","0.010703099891543388","0.010703099891543388","0.0019433478591963649","0.0019433478591963649","0.0019433478591963649","0.010231370106339455","0.010231370106339455","0.010231370106339455"
"10","0.005509215407073498","0.005509215407073498","0.005509215407073498","0.006744279991835356","0.006744279991835356","0.006744279991835356","0","0","0","0.005946547258645296","0.005946547258645296","0.005946547258645296","0.013897951692342758","0.013897951692342758","0.013897951692342758","0","0","0","0","0","0","0.013109263963997364","0.013109263963997364","0.013109263963997364","0","0","0","0","0","0","0.0057967170141637325","0.0057967170141637325","0.0057967170141637325","0.013003727421164513","0.013003727421164513","0.013003727421164513","0.00665718549862504","0.00665718549862504","0.00665718549862504","0.008846161654219031","0.007500608917325735","0.010191714391112328","0.005046648904681206","0.005046648904681206","0.005046648904681206","0.003373164450749755","0.003373164450749755","0.003373164450749755","0.002705665770918131","0.002705665770918131","0.002705665770918131","0","0","0","0.005952929146587849","0.005952929146587849","0.005952929146587849","0.004639316350221634","0.004639316350221634","0.004639316350221634"
"20","0.0028340406715869904","0.0028340406715869904","0.0028340406715869904","0.0025922178756445646","0.0025922178756445646","0.0025922178756445646","0","0","0","0.004362105391919613","0.004362105391919613","0.004362105391919613","0.006725904997438192","0.006725904997438192","0.006725904997438192","0.0031298394314944744","0.0031298394314944744","0.0031298394314944744","0.006298259366303682","0.006298259366303682","0.006298259366303682","0.0017111231572926044","0.0017111231572926044","0.0017111231572926044","0","0","0","0.002350839087739587","0.002350839087739587","0.002350839087739587","0.00044923523091711104","0.00044923523091711104","0.00044923523091711104","0.006976550444960594","0.006976550444960594","0.006976550444960594","0.0021548494696617126","0.0021548494696617126","0.0021548494696617126","0.006247415905818343","0.0032455739565193653","0.009249257855117321","0.005026041530072689","0.005026041530072689","0.005026041530072689","0.005733265075832605","0.005733265075832605","0.005733265075832605","0.0012999871978536248","0.0012999871978536248","0.0012999871978536248","0.005974230822175741","0.005974230822175741","0.005974230822175741","0.003378994995728135","0.003378994995728135","0.003378994995728135","0.0031502163037657738","0.0031502163037657738","0.0031502163037657738"
"30","0.007301113102585077","0.007301113102585077","0.007301113102585077","0.009152960032224655","0.009152960032224655","0.009152960032224655","0.013062238693237305","0.013062238693237305","0.013062238693237305","0.004957213997840881","0.004957213997840881","0.004957213997840881","0.0036379185039550066","0.0036379185039550066","0.0036379185039550066","0.009287290275096893","0.009287290275096893","0.009287290275096893","0","0","0","0.007740653585642576","0.007740653585642576","0.007740653585642576","0.007231628056615591","0.007231628056615591","0.007231628056615591","0","0","0","0.0031468519009649754","0.0031468519009649754","0.0031468519009649754","0.0034139833878725767","0.0034139833878725767","0.0034139833878725767","0.006150497123599052","0.006150497123599052","0.006150497123599052","0.007236257661134005","0.004076233133673668","0.010396282188594341","0","0","0","0.008839160203933716","0.008839160203933716","0.008839160203933716","0.0029004686512053013","0.0029004686512053013","0.0029004686512053013","0.010703099891543388","0.010703099891543388","0.010703099891543388","0.001795292249880731","0.001795292249880731","0.001795292249880731","0.0032341659534722567","0.0032341659534722567","0.0032341659534722567"
"40","0.01095491647720337","0.01095491647720337","0.01095491647720337","0.0011637991992756724","0.0011637991992756724","0.0011637991992756724","0","0","0","0.008144482038915157","0.008144482038915157","0.008144482038915157","0.004548306576907635","0.004548306576907635","0.004548306576907635","0","0","0","0.007029067724943161","0.007029067724943161","0.007029067724943161","0.004897818434983492","0.004897818434983492","0.004897818434983492","0.0018425401067361236","0.0018425401067361236","0.0018425401067361236","0","0","0","0.009878074750304222","0.009878074750304222","0.009878074750304222","0.0063698990270495415","0.0063698990270495415","0.0063698990270495415","0.005804075859487057","0.005804075859487057","0.005804075859487057","0.004118475480936468","0.003187020542100072","0.005049930419772863","0.0070815016515553","0.0070815016515553","0.0070815016515553","0.0028296008240431547","0.0028296008240431547","0.0028296008240431547","0.0009665756952017546","0.0009665756952017546","0.0009665756952017546","0.003702683374285698","0.003702683374285698","0.003702683374285698","0.0022754520177841187","0.0022754520177841187","0.0022754520177841187","0.015565291047096252","0.015565291047096252","0.015565291047096252"
"50","0.005462272558361292","0.005462272558361292","0.005462272558361292","0","0","0","0","0","0","0.003725573420524597","0.003725573420524597","0.003725573420524597","0.016132716089487076","0.016132716089487076","0.016132716089487076","0","0","0","0","0","0","0.0009170645498670638","0.0009170645498670638","0.0009170645498670638","0.006421917118132114","0.006421917118132114","0.006421917118132114","0","0","0","0.0028538384940475225","0.0028538384940475225","0.0028538384940475225","0.008215495385229588","0.008215495385229588","0.008215495385229588","0.002632792806252837","0.002632792806252837","0.002632792806252837","0.008947459515184164","0.008193785324692726","0.009701133705675602","0","0","0","0.005291018635034561","0.005291018635034561","0.005291018635034561","0.0001812607515603304","0.0001812607515603304","0.0001812607515603304","0","0","0","0.007147067692130804","0.007147067692130804","0.007147067692130804","0.018254265189170837","0.018254265189170837","0.018254265189170837"
"60","0.005876126233488321","0.005876126233488321","0.005876126233488321","0.007530722767114639","0.007530722767114639","0.007530722767114639","0","0","0","0.003848213003948331","0.003848213003948331","0.003848213003948331","0.006725904997438192","0.006725904997438192","0.006725904997438192","0","0","0","0.0032363664358854294","0.0032363664358854294","0.0032363664358854294","0.007395847700536251","0.007395847700536251","0.007395847700536251","0","0","0","0","0","0","0.0020686211064457893","0.0020686211064457893","0.0020686211064457893","0.0009590917034074664","0.0009590917034074664","0.0009590917034074664","0.006376475095748901","0.006376475095748901","0.006376475095748901","0.00462034996598959","0.002472430467605591","0.0067682694643735886","0.004460548982024193","0.004460548982024193","0.004460548982024193","0.003624976146966219","0.003624976146966219","0.003624976146966219","0.002471325686201453","0.002471325686201453","0.002471325686201453","0.013841771520674229","0.013841771520674229","0.013841771520674229","0.0056685698218643665","0.0056685698218643665","0.0056685698218643665","0.0030845310539007187","0.0030845310539007187","0.0030845310539007187"
"70","0.005016201641410589","0.005016201641410589","0.005016201641410589","0.003933437634259462","0.003933437634259462","0.003933437634259462","0.002661627484485507","0.002661627484485507","0.002661627484485507","0.008604848757386208","0.008604848757386208","0.008604848757386208","0.0036868667230010033","0.0036868667230010033","0.0036868667230010033","0","0","0","0","0","0","0.008527099154889584","0.008527099154889584","0.008527099154889584","0.001433379016816616","0.001433379016816616","0.001433379016816616","0","0","0","0","0","0","0.007091057486832142","0.007091057486832142","0.007091057486832142","0.0008281636401079595","0.0008281636401079595","0.0008281636401079595","0.005060085328295827","0.003723787609487772","0.006396383047103882","0.005508990027010441","0.005508990027010441","0.005508990027010441","0.003853557398542762","0.003853557398542762","0.003853557398542762","0","0","0","0","0","0","0.008786194026470184","0.008786194026470184","0.008786194026470184","0.006771916523575783","0.006771916523575783","0.006771916523575783"
"80","0.004709445405751467","0.004709445405751467","0.004709445405751467","0.007638229988515377","0.007638229988515377","0.007638229988515377","0.0003872073721140623","0.0003872073721140623","0.0003872073721140623","0.004390661604702473","0.004390661604702473","0.004390661604702473","0.005456970538944006","0.005456970538944006","0.005456970538944006","0","0","0","0","0","0","0.003228908870369196","0.003228908870369196","0.003228908870369196","0.0025068314280360937","0.0025068314280360937","0.0025068314280360937","0.005040603224188089","0.005040603224188089","0.005040603224188089","0.0017293905839323997","0.0017293905839323997","0.0017293905839323997","0.0073672146536409855","0.0073672146536409855","0.0073672146536409855","0.003844019491225481","0.003844019491225481","0.003844019491225481","0.005118792178109288","0.004587696865200996","0.00564988749101758","0","0","0","0.001993245678022504","0.001993245678022504","0.001993245678022504","0.0069616492837667465","0.0069616492837667465","0.0069616492837667465","0.006200579926371574","0.006200579926371574","0.006200579926371574","0.006882144138216972","0.006882144138216972","0.006882144138216972","0.004547886550426483","0.004547886550426483","0.004547886550426483"
"90","0.0060106804594397545","0.0060106804594397545","0.0060106804594397545","0.005162597633898258","0.005162597633898258","0.005162597633898258","0.005695653613656759","0.005695653613656759","0.005695653613656759","0.009516952559351921","0.009516952559351921","0.009516952559351921","0.007798454724252224","0.007798454724252224","0.007798454724252224","0","0","0","0","0","0","0.006952342577278614","0.006952342577278614","0.006952342577278614","0.006527319550514221","0.006527319550514221","0.006527319550514221","0","0","0","0.003045126562938094","0.003045126562938094","0.003045126562938094","0.008215495385229588","0.008215495385229588","0.008215495385229588","0.0009751266334205866","0.0009751266334205866","0.0009751266334205866","0.005585564533248544","0.00519181415438652","0.005979314912110567","0.005183955654501915","0.005183955654501915","0.005183955654501915","0.009510376490652561","0.009510376490652561","0.009510376490652561","0.003844400867819786","0.003844400867819786","0.003844400867819786","0.004312959499657154","0.004312959499657154","0.004312959499657154","0.0033474480733275414","0.0033474480733275414","0.0033474480733275414","0.018701229244470596","0.018701229244470596","0.018701229244470596"
