"Step","PROPS-NeRF-ablate-19 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-19 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-19 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-18 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-18 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-18 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-17 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-17 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-17 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-16 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-16 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-16 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-15 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-15 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-15 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-14 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-14 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-14 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-13 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-13 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-13 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-12 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-12 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-12 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-11 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-11 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-11 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-10 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-10 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-10 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-9 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-9 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-9 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-8 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-8 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-8 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-7 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-7 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-7 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-6 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-6 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-6 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-5 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-5 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-5 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-4 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-4 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-4 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-3 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-3 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-3 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-2 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-2 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-2 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-1 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-1 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-1 - Train Loss Dict/translation_loss__MAX","PROPS-NeRF-ablate-0 - Train Loss Dict/translation_loss","PROPS-NeRF-ablate-0 - Train Loss Dict/translation_loss__MIN","PROPS-NeRF-ablate-0 - Train Loss Dict/translation_loss__MAX"
"0","0.30614981055259705","0.30614981055259705","0.30614981055259705","0.3439047634601593","0.3439047634601593","0.3439047634601593","0.34370213747024536","0.34370213747024536","0.34370213747024536","0.3071603775024414","0.3071603775024414","0.3071603775024414","0.33859962224960327","0.33859962224960327","0.33859962224960327","0.3240247070789337","0.3240247070789337","0.3240247070789337","0.3065703809261322","0.3065703809261322","0.3065703809261322","0.35874712467193604","0.35874712467193604","0.35874712467193604","0.31862765550613403","0.31862765550613403","0.31862765550613403","0.2989545464515686","0.2989545464515686","0.2989545464515686","0.30355173349380493","0.30355173349380493","0.30355173349380493","0.3195829689502716","0.3195829689502716","0.3195829689502716","0.3053978681564331","0.3053978681564331","0.3053978681564331","0.3304217755794525","0.29624512791633606","0.36459842324256897","0.34026893973350525","0.34026893973350525","0.34026893973350525","0.31182336807250977","0.31182336807250977","0.31182336807250977","0.3327789902687073","0.3327789902687073","0.3327789902687073","0.27779313921928406","0.27779313921928406","0.27779313921928406","0.3450840413570404","0.3450840413570404","0.3450840413570404","0.3540223240852356","0.3540223240852356","0.3540223240852356"
"10","0.3170623481273651","0.3170623481273651","0.3170623481273651","0.32406002283096313","0.32406002283096313","0.32406002283096313","0.3673766851425171","0.3673766851425171","0.3673766851425171","0.3217352032661438","0.3217352032661438","0.3217352032661438","0.3614345192909241","0.3614345192909241","0.3614345192909241","0.3962368667125702","0.3962368667125702","0.3962368667125702","0.3048420250415802","0.3048420250415802","0.3048420250415802","0.3319821357727051","0.3319821357727051","0.3319821357727051","0.30225256085395813","0.30225256085395813","0.30225256085395813","0.3129287660121918","0.3129287660121918","0.3129287660121918","0.36229977011680603","0.36229977011680603","0.36229977011680603","0.3729841113090515","0.3729841113090515","0.3729841113090515","0.36367344856262207","0.36367344856262207","0.36367344856262207","0.3112412840127945","0.281717985868454","0.340764582157135","0.3688211739063263","0.3688211739063263","0.3688211739063263","0.3096849322319031","0.3096849322319031","0.3096849322319031","0.34592512249946594","0.34592512249946594","0.34592512249946594","0.3126350939273834","0.3126350939273834","0.3126350939273834","0.33315110206604004","0.33315110206604004","0.33315110206604004","0.35519886016845703","0.35519886016845703","0.35519886016845703"
"20","0.33339226245880127","0.33339226245880127","0.33339226245880127","0.3385576605796814","0.3385576605796814","0.3385576605796814","0.3126748502254486","0.3126748502254486","0.3126748502254486","0.3159749507904053","0.3159749507904053","0.3159749507904053","0.280376672744751","0.280376672744751","0.280376672744751","0.3583790361881256","0.3583790361881256","0.3583790361881256","0.2971137762069702","0.2971137762069702","0.2971137762069702","0.2726578712463379","0.2726578712463379","0.2726578712463379","0.3402586281299591","0.3402586281299591","0.3402586281299591","0.34614431858062744","0.34614431858062744","0.34614431858062744","0.33592167496681213","0.33592167496681213","0.33592167496681213","0.3017914593219757","0.3017914593219757","0.3017914593219757","0.34022313356399536","0.34022313356399536","0.34022313356399536","0.33418266475200653","0.31371647119522095","0.3546488583087921","0.3110789954662323","0.3110789954662323","0.3110789954662323","0.31349894404411316","0.31349894404411316","0.31349894404411316","0.33086097240448","0.33086097240448","0.33086097240448","0.3222132623195648","0.3222132623195648","0.3222132623195648","0.31646794080734253","0.31646794080734253","0.31646794080734253","0.30308908224105835","0.30308908224105835","0.30308908224105835"
"30","0.35343247652053833","0.35343247652053833","0.35343247652053833","0.274635374546051","0.274635374546051","0.274635374546051","0.3463040888309479","0.3463040888309479","0.3463040888309479","0.3094591498374939","0.3094591498374939","0.3094591498374939","0.30119720101356506","0.30119720101356506","0.30119720101356506","0.32300129532814026","0.32300129532814026","0.32300129532814026","0.2687760591506958","0.2687760591506958","0.2687760591506958","0.29807355999946594","0.29807355999946594","0.29807355999946594","0.2879602611064911","0.2879602611064911","0.2879602611064911","0.3062376379966736","0.3062376379966736","0.3062376379966736","0.31114906072616577","0.31114906072616577","0.31114906072616577","0.36653006076812744","0.36653006076812744","0.36653006076812744","0.29600316286087036","0.29600316286087036","0.29600316286087036","0.3049015700817108","0.29532086849212646","0.31448227167129517","0.26001042127609253","0.26001042127609253","0.26001042127609253","0.3208172023296356","0.3208172023296356","0.3208172023296356","0.2679780423641205","0.2679780423641205","0.2679780423641205","0.27675050497055054","0.27675050497055054","0.27675050497055054","0.28179818391799927","0.28179818391799927","0.28179818391799927","0.29276758432388306","0.29276758432388306","0.29276758432388306"
"40","0.26565131545066833","0.26565131545066833","0.26565131545066833","0.25535738468170166","0.25535738468170166","0.25535738468170166","0.2839118540287018","0.2839118540287018","0.2839118540287018","0.3042217791080475","0.3042217791080475","0.3042217791080475","0.3048744201660156","0.3048744201660156","0.3048744201660156","0.3425382077693939","0.3425382077693939","0.3425382077693939","0.2950739562511444","0.2950739562511444","0.2950739562511444","0.28743359446525574","0.28743359446525574","0.28743359446525574","0.2666001319885254","0.2666001319885254","0.2666001319885254","0.31049203872680664","0.31049203872680664","0.31049203872680664","0.33996817469596863","0.33996817469596863","0.33996817469596863","0.3720743954181671","0.3720743954181671","0.3720743954181671","0.2522032856941223","0.2522032856941223","0.2522032856941223","0.27795402705669403","0.25110939145088196","0.3047986626625061","0.28466951847076416","0.28466951847076416","0.28466951847076416","0.3012446463108063","0.3012446463108063","0.3012446463108063","0.2509925961494446","0.2509925961494446","0.2509925961494446","0.2979944348335266","0.2979944348335266","0.2979944348335266","0.236043319106102","0.236043319106102","0.236043319106102","0.2919366955757141","0.2919366955757141","0.2919366955757141"
"50","0.270914226770401","0.270914226770401","0.270914226770401","0.2404453158378601","0.2404453158378601","0.2404453158378601","0.2949257493019104","0.2949257493019104","0.2949257493019104","0.2952333092689514","0.2952333092689514","0.2952333092689514","0.2554546892642975","0.2554546892642975","0.2554546892642975","0.34588682651519775","0.34588682651519775","0.34588682651519775","0.27886101603507996","0.27886101603507996","0.27886101603507996","0.2689371109008789","0.2689371109008789","0.2689371109008789","0.25583159923553467","0.25583159923553467","0.25583159923553467","0.31309664249420166","0.31309664249420166","0.31309664249420166","0.3357102870941162","0.3357102870941162","0.3357102870941162","0.32001930475234985","0.32001930475234985","0.32001930475234985","0.23398464918136597","0.23398464918136597","0.23398464918136597","0.26669347286224365","0.2659599184989929","0.2674270272254944","0.24538744986057281","0.24538744986057281","0.24538744986057281","0.2834814786911011","0.2834814786911011","0.2834814786911011","0.29411235451698303","0.29411235451698303","0.29411235451698303","0.2967783808708191","0.2967783808708191","0.2967783808708191","0.261610746383667","0.261610746383667","0.261610746383667","0.2738480567932129","0.2738480567932129","0.2738480567932129"
"60","0.31868889927864075","0.31868889927864075","0.31868889927864075","0.304909348487854","0.304909348487854","0.304909348487854","0.28374528884887695","0.28374528884887695","0.28374528884887695","0.2826538681983948","0.2826538681983948","0.2826538681983948","0.2411763221025467","0.2411763221025467","0.2411763221025467","0.30653923749923706","0.30653923749923706","0.30653923749923706","0.2768486738204956","0.2768486738204956","0.2768486738204956","0.2505236566066742","0.2505236566066742","0.2505236566066742","0.22701923549175262","0.22701923549175262","0.22701923549175262","0.2724855840206146","0.2724855840206146","0.2724855840206146","0.2754766643047333","0.2754766643047333","0.2754766643047333","0.2856939733028412","0.2856939733028412","0.2856939733028412","0.22642485797405243","0.22642485797405243","0.22642485797405243","0.2555449903011322","0.2454027533531189","0.2656872272491455","0.23074880242347717","0.23074880242347717","0.23074880242347717","0.23274889588356018","0.23274889588356018","0.23274889588356018","0.27797427773475647","0.27797427773475647","0.27797427773475647","0.293075293302536","0.293075293302536","0.293075293302536","0.23107357323169708","0.23107357323169708","0.23107357323169708","0.29222944378852844","0.29222944378852844","0.29222944378852844"
"70","0.21744519472122192","0.21744519472122192","0.21744519472122192","0.2775019705295563","0.2775019705295563","0.2775019705295563","0.24820812046527863","0.24820812046527863","0.24820812046527863","0.25443750619888306","0.25443750619888306","0.25443750619888306","0.2592673599720001","0.2592673599720001","0.2592673599720001","0.29237550497055054","0.29237550497055054","0.29237550497055054","0.23393885791301727","0.23393885791301727","0.23393885791301727","0.2195509523153305","0.2195509523153305","0.2195509523153305","0.23370374739170074","0.23370374739170074","0.23370374739170074","0.3112383782863617","0.3112383782863617","0.3112383782863617","0.2636391520500183","0.2636391520500183","0.2636391520500183","0.26855242252349854","0.26855242252349854","0.26855242252349854","0.23665888607501984","0.23665888607501984","0.23665888607501984","0.23531054705381393","0.210037961602211","0.26058313250541687","0.2950623333454132","0.2950623333454132","0.2950623333454132","0.25346019864082336","0.25346019864082336","0.25346019864082336","0.2344597727060318","0.2344597727060318","0.2344597727060318","0.2611304223537445","0.2611304223537445","0.2611304223537445","0.1918037086725235","0.1918037086725235","0.1918037086725235","0.2483777403831482","0.2483777403831482","0.2483777403831482"
"80","0.28650978207588196","0.28650978207588196","0.28650978207588196","0.2980292737483978","0.2980292737483978","0.2980292737483978","0.32398080825805664","0.32398080825805664","0.32398080825805664","0.23800157010555267","0.23800157010555267","0.23800157010555267","0.25099611282348633","0.25099611282348633","0.25099611282348633","0.2942405343055725","0.2942405343055725","0.2942405343055725","0.2641903758049011","0.2641903758049011","0.2641903758049011","0.22374387085437775","0.22374387085437775","0.22374387085437775","0.23345516622066498","0.23345516622066498","0.23345516622066498","0.289819598197937","0.289819598197937","0.289819598197937","0.23905685544013977","0.23905685544013977","0.23905685544013977","0.3017955720424652","0.3017955720424652","0.3017955720424652","0.20910991728305817","0.20910991728305817","0.20910991728305817","0.2628854513168335","0.25297632813453674","0.27279457449913025","0.23514309525489807","0.23514309525489807","0.23514309525489807","0.29399415850639343","0.29399415850639343","0.29399415850639343","0.2613615393638611","0.2613615393638611","0.2613615393638611","0.26246464252471924","0.26246464252471924","0.26246464252471924","0.24129454791545868","0.24129454791545868","0.24129454791545868","0.21457651257514954","0.21457651257514954","0.21457651257514954"
"90","0.24171005189418793","0.24171005189418793","0.24171005189418793","0.25653526186943054","0.25653526186943054","0.25653526186943054","0.2198469191789627","0.2198469191789627","0.2198469191789627","0.2513710856437683","0.2513710856437683","0.2513710856437683","0.22339792549610138","0.22339792549610138","0.22339792549610138","0.3104139566421509","0.3104139566421509","0.3104139566421509","0.24870236217975616","0.24870236217975616","0.24870236217975616","0.2256861925125122","0.2256861925125122","0.2256861925125122","0.22253037989139557","0.22253037989139557","0.22253037989139557","0.30019184947013855","0.30019184947013855","0.30019184947013855","0.2561384439468384","0.2561384439468384","0.2561384439468384","0.27276185154914856","0.27276185154914856","0.27276185154914856","0.2413080781698227","0.2413080781698227","0.2413080781698227","0.22749734669923782","0.21316732466220856","0.2418273687362671","0.2531416714191437","0.2531416714191437","0.2531416714191437","0.24990582466125488","0.24990582466125488","0.24990582466125488","0.239165797829628","0.239165797829628","0.239165797829628","0.2882120907306671","0.2882120907306671","0.2882120907306671","0.19727425277233124","0.19727425277233124","0.19727425277233124","0.2540718615055084","0.2540718615055084","0.2540718615055084"
